time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1998-04-01T02:00:00+02:00,1.231,1.231,1.231,1.231,25.37666221,35.49064066,NaN,NaN
1998-05-01T02:00:00+02:00,1.256,1.256,1.256,1.256,27.19297039,34.23954123,NaN,NaN
1998-06-01T02:00:00+02:00,0.98,0.98,0.98,0.98,21.08995704,32.30589156,NaN,NaN
1998-07-01T02:00:00+02:00,1.197,1.197,1.197,1.197,33.6907316,31.6305862,NaN,NaN
1998-08-01T02:00:00+02:00,1.434,1.434,1.434,1.434,44.17558654,31.40625712,NaN,NaN
1998-09-01T02:00:00+02:00,1.206,1.206,1.206,1.206,37.95749738,31.13970326,NaN,NaN
1998-10-01T02:00:00+02:00,1.25,1.25,1.25,1.25,39.72087006,31.34688531,NaN,NaN
1998-11-01T01:00:00+01:00,1.238,1.238,1.238,1.238,39.39203624,31.76108702,NaN,NaN
1998-12-01T01:00:00+01:00,1.353,1.353,1.353,1.353,44.16274666,32.70134664,NaN,NaN
1999-01-01T01:00:00+01:00,1.343,1.343,1.343,1.343,43.83959474,33.81908439,NaN,NaN
1999-02-01T01:00:00+01:00,1.222,1.222,1.222,1.222,40.02336659,34.57357162,NaN,NaN
1999-03-01T01:00:00+01:00,1.145,1.145,1.145,1.145,37.77013233,34.93592953,NaN,NaN
1999-04-01T02:00:00+02:00,1.219,1.219,1.219,1.219,41.1964077,35.80361158,NaN,NaN
1999-05-01T02:00:00+02:00,1.218,1.218,1.218,1.218,41.16342488,36.91085602,NaN,NaN
1999-06-01T02:00:00+02:00,1.397,1.397,1.397,1.397,49.02992402,38.60037473,NaN,NaN
1999-07-01T02:00:00+02:00,1.295,1.295,1.295,1.295,45.31216882,39.89460319,NaN,NaN
1999-08-01T02:00:00+02:00,1.146,1.146,1.146,1.146,40.4830929,41.27982717,NaN,NaN
1999-09-01T02:00:00+02:00,1.432,1.432,1.432,1.432,51.22762558,42.53246246,NaN,NaN
1999-10-01T02:00:00+02:00,1.407,1.407,1.407,1.407,50.37159062,42.97503418,NaN,NaN
1999-11-01T01:00:00+01:00,1.486,1.486,1.486,1.486,53.0419464,44.05249482,NaN,NaN
1999-12-01T01:00:00+01:00,1.44,1.44,1.44,1.44,51.31068746,44.88033892,NaN,NaN
2000-01-01T01:00:00+01:00,1.537,1.537,1.537,1.537,54.67055074,45.97166139,NaN,NaN
2000-02-01T01:00:00+01:00,1.723,1.723,1.723,1.723,60.32432176,47.12605961,NaN,NaN
2000-03-01T01:00:00+01:00,1.9,1.9,1.9,1.9,64.8209491,48.62472778,NaN,NaN
2000-04-01T02:00:00+02:00,1.707,1.707,1.707,1.707,57.20745693,49.8521628,NaN,NaN
2000-05-01T02:00:00+02:00,1.718,1.718,1.718,1.718,57.51374987,51.2624212,NaN,NaN
2000-06-01T02:00:00+02:00,1.742,1.742,1.742,1.742,58.21646181,52.47813935,NaN,NaN
2000-07-01T02:00:00+02:00,1.791,1.791,1.791,1.791,59.68265235,53.80094131,NaN,NaN
2000-08-01T02:00:00+02:00,1.872,1.872,1.872,1.872,62.05312442,54.73116991,NaN,NaN
2000-09-01T02:00:00+02:00,1.849,1.849,1.849,1.849,60.95716332,55.84866952,NaN,NaN
2000-10-01T02:00:00+02:00,1.819,1.819,1.819,1.819,59.48148602,57.2056976,NaN,NaN
2000-11-01T01:00:00+01:00,1.901,1.901,1.901,1.901,62.17675849,57.98777852,NaN,NaN
2000-12-01T01:00:00+01:00,1.871,1.871,1.871,1.871,60.58881975,58.7175806,NaN,NaN
2001-01-01T01:00:00+01:00,2.007,2.007,2.007,2.007,64.95797252,59.56872532,NaN,NaN
2001-02-01T01:00:00+01:00,2.035,2.035,2.035,2.035,65.79864137,60.60357918,NaN,NaN
2001-03-01T01:00:00+01:00,1.932,1.932,1.932,1.932,60.08797037,60.99053772,NaN,NaN
2001-04-01T02:00:00+02:00,2.027,2.027,2.027,2.027,63.25558685,61.1999138,NaN,NaN
2001-05-01T02:00:00+02:00,1.941,1.941,1.941,1.941,58.71281222,60.76361831,NaN,NaN
2001-06-01T02:00:00+02:00,2.093,2.093,2.093,2.093,63.67786119,61.22579004,NaN,NaN
2001-07-01T02:00:00+02:00,2.123,2.123,2.123,2.123,64.58313652,61.73074623,NaN,NaN
2001-08-01T02:00:00+02:00,2.042,2.042,2.042,2.042,60.21906627,61.8737894,NaN,NaN
2001-09-01T02:00:00+02:00,1.218,1.218,1.218,1.218,34.60297319,60.08238375,NaN,NaN
2001-10-01T02:00:00+02:00,1.787,1.787,1.787,1.787,50.31889502,59.24422451,NaN,NaN
2001-11-01T01:00:00+01:00,1.814,1.814,1.814,1.814,50.92160501,58.52739891,NaN,NaN
2001-12-01T01:00:00+01:00,1.738,1.738,1.738,1.738,49.11539079,57.78696354,NaN,NaN
2002-01-01T01:00:00+01:00,1.419,1.419,1.419,1.419,42.32862168,56.36923948,NaN,NaN
2002-02-01T01:00:00+01:00,1.433,1.433,1.433,1.433,42.70281907,55.09166801,NaN,NaN
2002-03-01T01:00:00+01:00,1.448,1.448,1.448,1.448,43.12859616,53.53242684,NaN,NaN
2002-04-01T02:00:00+02:00,1.57,1.57,1.57,1.57,46.60404308,52.1613841,NaN,NaN
2002-05-01T02:00:00+02:00,1.66,1.66,1.66,1.66,49.07635659,51.37484026,NaN,NaN
2002-06-01T02:00:00+02:00,1.593,1.593,1.593,1.593,47.31982769,50.23657175,NaN,NaN
2002-07-01T02:00:00+02:00,1.537,1.537,1.537,1.537,45.84292061,49.31729378,NaN,NaN
2002-08-01T02:00:00+02:00,1.688,1.688,1.688,1.688,50.34341733,48.3648335,NaN,NaN
2002-09-01T02:00:00+02:00,2.435,2.435,2.435,2.435,65.58138243,48.43613678,NaN,NaN
2002-10-01T02:00:00+02:00,1.804,1.804,1.804,1.804,51.26934777,47.79687117,NaN,NaN
2002-11-01T01:00:00+01:00,1.698,1.698,1.698,1.698,49.32208988,48.84823665,NaN,NaN
2002-12-01T01:00:00+01:00,1.769,1.769,1.769,1.769,50.67348782,48.87356471,NaN,NaN
2003-01-01T01:00:00+01:00,1.78,1.78,1.78,1.78,50.89198006,48.87144864,NaN,NaN
2003-02-01T01:00:00+01:00,1.727,1.727,1.727,1.727,49.74856471,48.91667535,NaN,NaN
2003-03-01T01:00:00+01:00,1.769,1.769,1.769,1.769,50.69395885,49.51419943,NaN,NaN
2003-04-01T02:00:00+02:00,1.598,1.598,1.598,1.598,46.83092368,49.80906405,NaN,NaN
2003-05-01T02:00:00+02:00,1.631,1.631,1.631,1.631,47.65983873,50.13272423,NaN,NaN
2003-06-01T02:00:00+02:00,1.528,1.528,1.528,1.528,45.28666664,50.03862591,NaN,NaN
2003-07-01T02:00:00+02:00,1.575,1.575,1.575,1.575,46.59348791,49.86127815,NaN,NaN
2003-08-01T02:00:00+02:00,1.489,1.489,1.489,1.489,44.49908894,49.65979681,NaN,NaN
2003-09-01T02:00:00+02:00,1.465,1.465,1.465,1.465,43.90595187,49.5214419,NaN,NaN
2003-10-01T02:00:00+02:00,1.565,1.565,1.565,1.565,47.07162416,49.28774239,NaN,NaN
2003-11-01T01:00:00+01:00,1.605,1.605,1.605,1.605,48.32780103,48.05534372,NaN,NaN
2003-12-01T01:00:00+01:00,1.638,1.638,1.638,1.638,49.394877,47.92145295,NaN,NaN
2004-01-01T01:00:00+01:00,1.828,1.828,1.828,1.828,55.13909333,48.33695319,NaN,NaN
2004-02-01T01:00:00+01:00,1.853,1.853,1.853,1.853,55.84923601,48.70664949,NaN,NaN
2004-03-01T01:00:00+01:00,1.861,1.861,1.861,1.861,56.08878135,49.07784959,NaN,NaN
2004-04-01T02:00:00+02:00,2.013,2.013,2.013,2.013,60.47654008,49.84413354,NaN,NaN
2004-05-01T02:00:00+02:00,2.005,2.005,2.005,2.005,60.1359496,50.51856145,NaN,NaN
2004-06-01T02:00:00+02:00,2.109,2.109,2.109,2.109,63.04932209,51.67701848,NaN,NaN
2004-07-01T02:00:00+02:00,1.976,1.976,1.976,1.976,57.28367027,52.36443502,NaN,NaN
2004-08-01T02:00:00+02:00,1.9,1.9,1.9,1.9,54.23178286,53.00337189,NaN,NaN
2004-09-01T02:00:00+02:00,1.948,1.948,1.948,1.948,55.83228028,53.66328563,NaN,NaN
2004-10-01T02:00:00+02:00,1.983,1.983,1.983,1.983,57.01271636,54.55711616,NaN,NaN
2004-11-01T01:00:00+01:00,2.062,2.062,2.062,2.062,59.63503696,55.68062224,NaN,NaN
2004-12-01T01:00:00+01:00,2.066,2.066,2.066,2.066,59.76885841,56.58756754,NaN,NaN
2005-01-01T01:00:00+01:00,2.171,2.171,2.171,2.171,63.21625392,57.65102847,NaN,NaN
2005-02-01T01:00:00+01:00,2.175,2.175,2.175,2.175,63.3451133,58.64747392,NaN,NaN
2005-03-01T01:00:00+01:00,2.256,2.256,2.256,2.256,65.94664807,59.41944211,NaN,NaN
2005-04-01T02:00:00+02:00,2.108,2.108,2.108,2.108,57.86540564,59.56345423,NaN,NaN
2005-05-01T02:00:00+02:00,2.177,2.177,2.177,2.177,60.30751844,59.86479259,NaN,NaN
2005-06-01T02:00:00+02:00,2.086,2.086,2.086,2.086,55.72061314,59.52508352,NaN,NaN
2005-07-01T02:00:00+02:00,2.115,2.115,2.115,2.115,56.84703292,59.2901609,NaN,NaN
2005-08-01T02:00:00+02:00,2.159,2.159,2.159,2.159,58.56914695,58.97014839,NaN,NaN
2005-09-01T02:00:00+02:00,2.194,2.194,2.194,2.194,59.93869229,59.15979282,NaN,NaN
2005-10-01T02:00:00+02:00,2.264,2.264,2.264,2.264,62.60139467,59.75762224,NaN,NaN
2005-11-01T01:00:00+01:00,2.306,2.306,2.306,2.306,64.14141545,60.3511319,NaN,NaN
2005-12-01T01:00:00+01:00,2.28,2.28,2.28,2.28,62.42762881,60.73791136,NaN,NaN
2006-01-01T01:00:00+01:00,2.143,2.143,2.143,2.143,54.20863605,60.35031129,NaN,NaN
2006-02-01T01:00:00+01:00,2.139,2.139,2.139,2.139,53.98515525,59.93718964,NaN,NaN
2006-03-01T01:00:00+01:00,2.167,2.167,2.167,2.167,55.37210543,59.37689332,NaN,NaN
2006-04-01T02:00:00+02:00,2.361,2.361,2.361,2.361,63.56611961,59.39267948,NaN,NaN
2006-05-01T02:00:00+02:00,2.409,2.409,2.409,2.409,65.26544387,59.34402204,NaN,NaN
2006-06-01T02:00:00+02:00,2.596,2.596,2.596,2.596,70.95005976,60.27864019,NaN,NaN
2006-07-01T02:00:00+02:00,2.546,2.546,2.546,2.546,67.75700299,60.81074623,NaN,NaN
2006-08-01T02:00:00+02:00,2.67,2.67,2.67,2.67,71.21664849,61.9176059,NaN,NaN
2006-09-01T02:00:00+02:00,2.606,2.606,2.606,2.606,67.20832955,62.65769851,NaN,NaN
2006-10-01T02:00:00+02:00,2.497,2.497,2.497,2.497,60.9195203,62.82558232,NaN,NaN
2006-11-01T01:00:00+01:00,2.284,2.284,2.284,2.284,50.89703183,62.17974943,NaN,NaN
2006-12-01T01:00:00+01:00,2.316,2.316,2.316,2.316,52.17016271,61.43466144,NaN,NaN
2007-01-01T01:00:00+01:00,2.5,2.5,2.5,2.5,58.78702112,61.0522047,NaN,NaN
2007-02-01T01:00:00+01:00,2.557,2.557,2.557,2.557,60.60518778,60.92203034,NaN,NaN
2007-03-01T01:00:00+01:00,2.378,2.378,2.378,2.378,52.73694883,60.81690982,NaN,NaN
2007-04-01T02:00:00+02:00,2.211,2.211,2.211,2.211,46.65163808,60.29308717,NaN,NaN
2007-05-01T02:00:00+02:00,2.076,2.076,2.076,2.076,42.39306094,59.36601256,NaN,NaN
2007-06-01T02:00:00+02:00,1.987,1.987,1.987,1.987,39.8128132,57.66934782,NaN,NaN
2007-07-01T02:00:00+02:00,2.041,2.041,2.041,2.041,42.11490082,56.0157376,NaN,NaN
2007-08-01T02:00:00+02:00,1.986,1.986,1.986,1.986,40.4191629,53.83495925,NaN,NaN
2007-09-01T02:00:00+02:00,2.102,2.102,2.102,2.102,45.41150202,52.23885204,NaN,NaN
2007-10-01T02:00:00+02:00,2.184,2.184,2.184,2.184,48.68478944,50.62943354,NaN,NaN
2007-11-01T01:00:00+01:00,2.335,2.335,2.335,2.335,54.13835347,49.69586382,NaN,NaN
2007-12-01T01:00:00+01:00,2.405,2.405,2.405,2.405,56.44902371,49.37654263,NaN,NaN
2008-01-01T01:00:00+01:00,2.193,2.193,2.193,2.193,48.48207482,49.2040457,NaN,NaN
2008-02-01T01:00:00+01:00,2.072,2.072,2.072,2.072,44.61198261,48.6641757,NaN,NaN
2008-03-01T01:00:00+01:00,2.169,2.169,2.169,2.169,48.18293433,47.90674092,NaN,NaN
2008-04-01T02:00:00+02:00,2.083,2.083,2.083,2.083,45.38891528,46.81986432,NaN,NaN
2008-05-01T02:00:00+02:00,2.149,2.149,2.149,2.149,47.88647969,46.47340224,NaN,NaN
2008-06-01T02:00:00+02:00,2.215,2.215,2.215,2.215,50.33267617,46.73633353,NaN,NaN
2008-07-01T02:00:00+02:00,2.245,2.245,2.245,2.245,51.44827385,47.38313445,NaN,NaN
2008-08-01T02:00:00+02:00,2.218,2.218,2.218,2.218,50.3520946,48.13594026,NaN,NaN
2008-09-01T02:00:00+02:00,2.044,2.044,2.044,2.044,43.8656657,48.2609949,NaN,NaN
2008-10-01T02:00:00+02:00,1.634,1.634,1.634,1.634,33.05889859,47.73526173,NaN,NaN
2008-11-01T01:00:00+01:00,1.39,1.39,1.39,1.39,28.55092015,46.53093446,NaN,NaN
2008-12-01T01:00:00+01:00,1.137,1.137,1.137,1.137,24.77801912,44.82330801,NaN,NaN
2009-01-01T01:00:00+01:00,0.906,0.906,0.906,0.906,21.9286812,42.52261713,NaN,NaN
2009-02-01T01:00:00+01:00,0.888,0.888,0.888,0.888,21.71909422,40.04190788,NaN,NaN
2009-03-01T01:00:00+01:00,0.763,0.763,0.763,0.763,20.27021456,38.026775,NaN,NaN
2009-04-01T02:00:00+02:00,0.929,0.929,0.929,0.929,27.21436382,36.78408795,NaN,NaN
2009-05-01T02:00:00+02:00,0.822,0.822,0.822,0.822,25.66282284,35.17550856,NaN,NaN
2009-06-01T02:00:00+02:00,0.72,0.72,0.72,0.72,24.24386961,33.66514815,NaN,NaN
2009-07-01T02:00:00+02:00,0.626,0.626,0.626,0.626,22.98269017,31.88630604,NaN,NaN
2009-08-01T02:00:00+02:00,0.651,0.651,0.651,0.651,24.11336334,30.01349799,NaN,NaN
2009-09-01T02:00:00+02:00,0.724,0.724,0.724,0.724,27.46210191,28.30019999,NaN,NaN
2009-10-01T02:00:00+02:00,1.239,1.239,1.239,1.239,45.67517803,27.96613452,NaN,NaN
2009-11-01T01:00:00+01:00,1.374,1.374,1.374,1.374,49.27090474,28.35222302,NaN,NaN
2009-12-01T01:00:00+01:00,1.51,1.51,1.51,1.51,52.6696448,29.75299061,NaN,NaN
2010-01-01T01:00:00+01:00,1.69,1.69,1.69,1.69,56.79544897,31.77045695,NaN,NaN
2010-02-01T01:00:00+01:00,1.698,1.698,1.698,1.698,56.97496048,34.07023848,NaN,NaN
2010-03-01T01:00:00+01:00,1.777,1.777,1.777,1.777,58.7956169,36.70359103,NaN,NaN
2010-04-01T02:00:00+02:00,1.602,1.602,1.602,1.602,53.40448349,38.96683312,NaN,NaN
2010-05-01T02:00:00+02:00,1.636,1.636,1.636,1.636,54.28158893,41.396217,NaN,NaN
2010-06-01T02:00:00+02:00,1.556,1.556,1.556,1.556,51.81032165,43.15307113,NaN,NaN
2010-07-01T02:00:00+02:00,1.47,1.47,1.47,1.47,49.21632451,44.83546411,NaN,NaN
2010-08-01T02:00:00+02:00,1.418,1.418,1.418,1.418,47.66243891,46.50821906,NaN,NaN
